"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: shift","Param: size"
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmeticUnsafe","thrpt",1,5,4.493338,0.052447,"ops/us",7,1024
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmeticUnsafe","thrpt",1,5,4.352005,0.127427,"ops/us",7,1030
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmeticUnsafe","thrpt",1,5,15.598129,0.242493,"ops/us",8,250
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmeticUnsafe","thrpt",1,5,17.287792,0.201635,"ops/us",8,256
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmeticUnsafe","thrpt",1,5,16.262241,0.325119,"ops/us",8,262
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmeticUnsafe","thrpt",1,5,4.445142,0.048683,"ops/us",8,1018
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmeticUnsafe","thrpt",1,5,4.478929,0.059594,"ops/us",8,1024
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmeticUnsafe","thrpt",1,5,4.377495,0.060843,"ops/us",8,1030
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,7.519700,0.107267,"ops/us",0,250
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,7.464531,0.308817,"ops/us",0,256
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,7.473977,0.122781,"ops/us",0,262
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,1.963351,0.061825,"ops/us",0,1018
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,1.965883,0.139291,"ops/us",0,1024
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,2.008736,0.188627,"ops/us",0,1030
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,7.525109,0.047179,"ops/us",1,250
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,7.341725,0.183424,"ops/us",1,256
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,7.506334,0.127763,"ops/us",1,262
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,1.987959,0.009052,"ops/us",1,1018
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,1.966036,0.095510,"ops/us",1,1024
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,1.949898,0.074998,"ops/us",1,1030
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,7.571452,0.133089,"ops/us",7,250
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,7.422129,0.542094,"ops/us",7,256
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,7.429609,0.154287,"ops/us",7,262
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,1.965460,0.076335,"ops/us",7,1018
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,1.969899,0.096004,"ops/us",7,1024
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,1.983031,0.016293,"ops/us",7,1030
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,7.531941,0.139384,"ops/us",8,250
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,7.367593,0.215386,"ops/us",8,256
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,7.456574,0.160798,"ops/us",8,262
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,2.027801,0.066184,"ops/us",8,1018
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,2.096556,0.005543,"ops/us",8,1024
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,1.948405,0.007283,"ops/us",8,1030
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogicalUnsafe","thrpt",1,5,20.072733,2.388517,"ops/us",0,250
