"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: shift","Param: size"
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,18.247787,0.177523,"ops/us",0,250
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,25.189287,0.083362,"ops/us",0,256
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,23.878128,1.486587,"ops/us",0,262
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,9.286776,0.169307,"ops/us",0,1018
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,10.914047,0.060050,"ops/us",0,1024
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,10.564764,0.303730,"ops/us",0,1030
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,18.126012,0.497112,"ops/us",1,250
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,25.092744,0.685261,"ops/us",1,256
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,22.999389,0.303475,"ops/us",1,262
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,9.308794,0.242943,"ops/us",1,1018
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,10.889987,0.201891,"ops/us",1,1024
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,10.354830,0.204797,"ops/us",1,1030
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,18.104929,0.833391,"ops/us",7,250
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,25.525225,1.058005,"ops/us",7,256
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,22.890170,0.457192,"ops/us",7,262
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,9.324288,0.196076,"ops/us",7,1018
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,10.891533,0.082364,"ops/us",7,1024
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,10.571187,0.222624,"ops/us",7,1030
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,18.175808,0.452371,"ops/us",8,250
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,25.245452,0.396196,"ops/us",8,256
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,23.109097,0.061468,"ops/us",8,262
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,9.284711,0.256823,"ops/us",8,1018
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,10.877813,0.105014,"ops/us",8,1024
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,10.358305,0.292978,"ops/us",8,1030
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmeticUnsafe","thrpt",1,5,15.628798,0.415542,"ops/us",0,250
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmeticUnsafe","thrpt",1,5,17.272456,0.631146,"ops/us",0,256
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmeticUnsafe","thrpt",1,5,14.438353,0.315382,"ops/us",0,262
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmeticUnsafe","thrpt",1,5,4.415769,0.079505,"ops/us",0,1018
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmeticUnsafe","thrpt",1,5,4.461373,0.080921,"ops/us",0,1024
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmeticUnsafe","thrpt",1,5,4.132034,0.250692,"ops/us",0,1030
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmeticUnsafe","thrpt",1,5,16.992797,0.253043,"ops/us",1,250
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmeticUnsafe","thrpt",1,5,17.342952,0.238273,"ops/us",1,256
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmeticUnsafe","thrpt",1,5,14.627287,0.552194,"ops/us",1,262
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmeticUnsafe","thrpt",1,5,4.517435,0.151964,"ops/us",1,1018
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmeticUnsafe","thrpt",1,5,4.476616,0.054379,"ops/us",1,1024
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmeticUnsafe","thrpt",1,5,4.153728,0.068590,"ops/us",1,1030
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmeticUnsafe","thrpt",1,5,16.935670,0.515578,"ops/us",7,250
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmeticUnsafe","thrpt",1,5,17.668635,0.343247,"ops/us",7,256
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmeticUnsafe","thrpt",1,5,14.408205,0.368361,"ops/us",7,262
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmeticUnsafe","thrpt",1,5,4.436654,0.020834,"ops/us",7,1018
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmeticUnsafe","thrpt",1,5,4.476475,0.039526,"ops/us",7,1024
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmeticUnsafe","thrpt",1,5,4.172609,0.061469,"ops/us",7,1030
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmeticUnsafe","thrpt",1,5,16.987466,0.202447,"ops/us",8,250
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmeticUnsafe","thrpt",1,5,17.403420,0.208813,"ops/us",8,256
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmeticUnsafe","thrpt",1,5,14.464275,0.160839,"ops/us",8,262
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmeticUnsafe","thrpt",1,5,4.443708,0.070989,"ops/us",8,1018
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmeticUnsafe","thrpt",1,5,4.720626,0.171716,"ops/us",8,1024
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmeticUnsafe","thrpt",1,5,4.253040,0.088258,"ops/us",8,1030
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,18.191279,0.281667,"ops/us",0,250
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,20.274241,0.482750,"ops/us",0,256
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,23.666673,2.447062,"ops/us",0,262
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,9.315800,0.289419,"ops/us",0,1018
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,9.706462,0.275737,"ops/us",0,1024
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,10.367262,0.183024,"ops/us",0,1030
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,18.301114,1.095593,"ops/us",1,250
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,25.823625,0.463037,"ops/us",1,256
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,23.456042,0.533061,"ops/us",1,262
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,9.311597,0.117147,"ops/us",1,1018
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,11.106354,1.126994,"ops/us",1,1024
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,10.250077,0.242414,"ops/us",1,1030
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,18.609886,1.933992,"ops/us",7,250
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,25.242200,0.667229,"ops/us",7,256
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,23.111450,0.521140,"ops/us",7,262
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,9.270754,0.563155,"ops/us",7,1018
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,9.891347,0.052645,"ops/us",7,1024
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,10.390528,0.225605,"ops/us",7,1030
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,18.491362,0.388118,"ops/us",8,250
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,25.319509,0.176510,"ops/us",8,256
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,22.932418,0.470137,"ops/us",8,262
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,9.363212,0.024503,"ops/us",8,1018
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,10.879806,0.108640,"ops/us",8,1024
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogical","thrpt",1,5,10.552629,0.497255,"ops/us",8,1030
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogicalUnsafe","thrpt",1,5,22.077246,1.081037,"ops/us",0,250
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogicalUnsafe","thrpt",1,5,23.892896,0.443875,"ops/us",0,256
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogicalUnsafe","thrpt",1,5,20.037400,0.197346,"ops/us",0,262
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogicalUnsafe","thrpt",1,5,5.773376,0.094510,"ops/us",0,1018
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogicalUnsafe","thrpt",1,5,6.165100,0.164495,"ops/us",0,1024
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogicalUnsafe","thrpt",1,5,5.635749,0.096095,"ops/us",0,1030
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogicalUnsafe","thrpt",1,5,22.803000,2.328542,"ops/us",1,250
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogicalUnsafe","thrpt",1,5,24.306697,0.415944,"ops/us",1,256
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogicalUnsafe","thrpt",1,5,19.932682,0.397168,"ops/us",1,262
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogicalUnsafe","thrpt",1,5,5.783751,0.070052,"ops/us",1,1018
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftLogicalUnsafe","thrpt",1,5,6.176860,0.087320,"ops/us",1,1024
